artist	genres
3OH!3	dance pop, electropowerpop, emo, pop, pop punk, pop rap, post-teen pop
68	mathcore, progressive post-hardcore
5606	No data
A+ Dropouts	No data
Aaron West and the Roaring Twenties	alternative emo, anthem emo, pop punk
Abriel	Deathcore, Pop, Metalcore
The Acacia Strain	christian hardcore, death core, djent, mathcore, melodic metalcore, metalcore, progressive deathcore, rap metal, screamo
The Academy Is...	dreamo, emo, pop emo, pop punk, screamo
A Day to Remember	metalcore, pixie, pop punk, screamo
Adolescents	crossover thrash, hardcore punk, melodic hardcore, oi, punk, ska punk, skate punk
After the Burial	death core, djent, groove metal, mathcore, melodic metalcore, metalcore, rap metal, screamo
Against the Current	pixie, pop emo, pop punk, post-teen pop, viral pop
Agent Orange	crossover thrash, hardcore punk, punk, ska punk, skate punk
Aiden	emo, horror punk, metalcore, screamo
The Alarm	dance rock, indie christmas, jangle pop, new romantic, new wave, new wave pop, power pop, welsh rock
Alesana	emo, metalcore, pixie, pop punk, post-hardcore, screamo
Alestorm	comic, folk metal, metal, power metal, progressive metal, speed metal
Alive Like Me	pixie, post-screamo
Alkaline Trio	emo, melodic hardcore, pop punk, pop rock, punk, screamo, skate punk
The All-American Rejects	emo, neo mellow, pop, pop punk, pop rock, post-grunge
All That Remains	alternative metal, groove metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock, screamo
All Time Low	pixie, pop, pop punk, post-teen pop, punk christmas, teen pop
Allister	emo, pop punk, punk, skate punk
Allstar Weekend	alternative pop rock, pop, post-teen pop, teen pop, viral pop
The Almost	christian alternative rock, christian christmas, christian metal, christian rock, dreamo, emo, pop punk, punk christmas, screamo
Alvarez Kings	sheffield indie
AM Taxi	No data
Amazing Royal Crowns	deep psychobilly
Amber Pacific	emo, piano rock, pop emo, pop punk, screamo
Amely	alternative pop rock, pop emo, pop punk, punk christmas
American Authors	brooklyn indie, indie poptimism, neo mellow, pop, pop rock
American Opera	No data 
American Pinup	No data
American Sixgun	modern southern rock
The Amity Affliction	metalcore, pixie, post-screamo, screamo
Amory	No data
Amplify This	triangle indie
Amyst	No data
A.N.I.M.A.L.	alternative dance, alternative rock, anti-folk, chamber pop, chillwave, dance-punk, dream pop, escape room, experimental rock, folk-pop, freak folk, indie folk, indie pop, indie r&b, indie rock, indietronica, lo-fi, neo-psychedelic, new rave, noise pop, noise rock, nu gaze, post rock, shimmer pop, synthpop
Anarbor	emo, pixie, pop emo, pop punk, punk christmas
Anberlin	alternative metal, christian alternative rock, christian christmas, christian rock, dreamo, emo, nu metal, pop punk, pop rock, post-grunge, punk christmas, screamo
And I've Landed	No data
Andrew W.K.	comic, pop punk
Andy Black	pixie, pop punk
Angels & Airwaves	emo, pop rock, post-grunge, space rock
