Band	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
3OH!3																						1	
68																					1		
5606																1							
A+ Dropouts																					1		
Aaron West and the Roaring Twenties																				1	1		
Abriel															1								
The Acacia Strain																	1						1
The Academy Is...												1		1									
A Day to Remember											1			1	1		1			1			
Adolescents													1			1							1
After the Burial																		1					1
Against the Current																						1	
Agent Orange													1										
Aiden												1			1								
The Alarm																							1
Alesana													1										
Alestorm																							1
Alive Like Me																					1		
Alkaline Trio								1		1			1			1							
The All-American Rejects									1		1					1							
All That Remains														1									
All Time Low													1	1	1			1					
Allister								1		1	1												
Allstar Weekend																			1				
The Almost													1										
Alvarez Kings																			1		1		
AM Taxi																	1						
Amazing Royal Crowns				1																			
Amber Pacific										1	1	1	1										
Amely															1								
American Authors																						1	1
American Opera																					1		
American Pinup																				1			
American Sixgun																1							
The Amity Affliction																			1		1		
Amory												1											
Amplify This															1								
Amyst																		1					
A.N.I.M.A.L.						1																	
Anarbor														1	1	1			1				
Anberlin													1	1						1			
And I've Landed															1								
Andrew W.K.								1	1							1							
Andy Black																							1
Angels & Airwaves														1									
Angry Samoans																1							
Animo														1									
Anthony Raneri of Bayside																		1		1			
Anthrophobia					1																		
Anti-Flag					1	1		1		1		1			1	1	1	1					1
Antiserum																				1			
April Chase																1							
Assuming We Survive																						1	
The Aquabats				1															1				
Architects														1					1				
Armor for Sleep											1	1											
The Arrogant Sons of Bitches									1	1													
Artist Vs Poet																1							
As Cities Burn													1										
Ascot Royals																					1		
As I Lay Dying													1	1									
As It Is																					1		
As Tall as Lions											1												
Asking Alexandria																	1				1		
Assorted Jelly Beans																1							
The Ataris							1		1		1				1				1	1			1
A Thorn for Every Heart											1												
Atmosphere										1	1												
Atomic Fireballs				1																			
Atreyu											1											1	
Attack Attack!															1	1	1						
Attila																			1	1	1		1
The Audition													1										
August Burns Red														1			1	1	1		1		
Authority Zero														1									
The Automatic													1										
Automatic Love Letter														1		1							
Avail						1																	
Avenged Sevenfold								1	1	1	1		1										
Avion Roe																						1	
A Wilhelm Scream										1	1												
Baby Baby																					1		
Bad Cop / Bad Cop																					1		1
Bad Rabbits																	1			1			
Bad Religion			1	1				1		1			1		1								
Bad Omens																							1
Bad Seed Rising																						1	1
The Ballroom Charades																						1	
Ballyhoo!																		1				1	
Bangups																		1	1				
Barb Wire Dolls																							1
Bayside												1	1		1			1					
Beacher's Madhouse																1							
Beartooth																				1	1		1
Beatsteaks						1																	
Beat Union														1									
Beautiful Bodies																			1		1		
Bebe Rexha																					1		
Beck		1																					
Bedouin Soundclash											1			1									
Beebs and Her Money Makers																			1	1			
Being As An Ocean																					1		1
Between the Trees														1									
Beware Of Darkness																			1				
Be Your Own Pet														1									
Bif Naked						1																	
Biffy Clyro													1										
Big B																	1						
Big Chocolate																	1		1				
Big D and the Kids Table											1		1		1	1	1		1				1
Big Drill Car														1	1								
Bi-Level									1														
Billy Idol											1												
Billy Talent										1	1	1							1				
Black Boots																					1		
Black Box															1								
The Black Dahlia Murder																			1				
The Black Eyed Peas					1																		
Blackfire									1														
The Black Pacific																	1						
Black Square																	1						
Black Tide															1								
Blacklist Royals												1	1				1						
Black President														1									
Black Veil Brides																	1		1		1		
Blasé Debris														1									
The Bled										1	1	1											
The Bleeding Irish														1									
Bleeding Orange												1											
Bleeding Through											1												
Bleed the Dream									1	1	1		1										
Blessthefall													1					1	1		1		1
Blink-182		1	1		1		1																
Blood on the Dance Floor																	1	1					
Bombay Cowtippers					1																		
Born Cages																					1		
Born of Osiris																		1		1			
Boston Manor																							1
The BOTS																1	1						
Bouncing Souls					1		1			1		1		1	1								
Bowling for Soup									1	1	1						1		1	1			1
Box Car Racer								1															
BoyMeetsWorld																					1		
Boysetsfire								1				1											
Boys Like Girls													1										
Boys Night Out											1												
Brand New									1														
Brass Tackz																1							
Breathe Carolina															1	1		1		1			
Breathe Electric															1	1							
Brian Marquis																		1	1		1		
Britt Black												1											
The Briggs													1	1									
Bring Me The Horizon														1		1			1				
Broadway Calls														1									
