year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
emo,0.0470588235294,0.0185185185185,0.0144927536232,0.0254237288136,0.0277777777778,0.017316017316,0.0493273542601,0.066852367688,0.0830188679245,0.0892307692308,0.0774774774775,0.076354679803,0.0538116591928,0.0523255813953,0.0600600600601,0.0580474934037,0.0546318289786,0.053738317757,0.0558882235529,0.0529531568228,0.0548628428928,0.0542986425339,0.0248306997743
pop,0.0117647058824,0.0,0.0,0.0,0.0138888888889,0.00865800865801,0.00448430493274,0.00278551532033,0.00754716981132,0.00307692307692,0.00900900900901,0.00985221674877,0.00597907324365,0.0116279069767,0.015015015015,0.0158311345646,0.0118764845606,0.00934579439252,0.0119760479042,0.0142566191446,0.0074812967581,0.0158371040724,0.00225733634312
pop punk,0.0352941176471,0.0648148148148,0.0942028985507,0.0423728813559,0.0763888888889,0.0649350649351,0.103139013453,0.111420612813,0.120754716981,0.113846153846,0.0954954954955,0.0935960591133,0.0717488789238,0.078488372093,0.105105105105,0.0923482849604,0.0736342042755,0.0771028037383,0.0818363273453,0.071283095723,0.0897755610973,0.0882352941176,0.0541760722348
progressive post-hardcore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111420612813,0.00754716981132,0.0153846153846,0.0216216216216,0.0295566502463,0.0149476831091,0.0145348837209,0.018018018018,0.0105540897098,0.00712589073634,0.00700934579439,0.00998003992016,0.010183299389,0.00997506234414,0.0203619909502,0.0158013544018
alternative emo,0.0,0.0,0.0,0.00423728813559,0.0,0.004329004329,0.0,0.0139275766017,0.011320754717,0.0123076923077,0.0126126126126,0.0221674876847,0.0104633781764,0.0101744186047,0.00900900900901,0.0105540897098,0.0142517814727,0.0303738317757,0.0179640718563,0.020366598778,0.0448877805486,0.0294117647059,0.0225733634312
anthem emo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557103064067,0.00754716981132,0.00615384615385,0.00540540540541,0.012315270936,0.00747384155456,0.00726744186047,0.00600600600601,0.00527704485488,0.0118764845606,0.0257009345794,0.0199600798403,0.0244399185336,0.0548628428928,0.0384615384615,0.0270880361174
metalcore,0.0,0.00925925925926,0.00724637681159,0.00847457627119,0.0208333333333,0.00865800865801,0.00448430493274,0.0194986072423,0.0264150943396,0.0307692307692,0.0378378378378,0.0369458128079,0.0418535127055,0.0406976744186,0.042042042042,0.0422163588391,0.0403800475059,0.0584112149533,0.063872255489,0.061099796334,0.0648379052369,0.0588235294118,0.0632054176072
melodic metalcore,0.0,0.00925925925926,0.0,0.00423728813559,0.00694444444444,0.004329004329,0.00448430493274,0.008356545961,0.0150943396226,0.0184615384615,0.018018018018,0.0221674876847,0.0269058295964,0.0261627906977,0.012012012012,0.023746701847,0.0237529691211,0.0327102803738,0.0279441117764,0.0285132382892,0.0224438902743,0.0248868778281,0.020316027088
rap metal,0.0352941176471,0.0185185185185,0.0434782608696,0.0254237288136,0.0277777777778,0.025974025974,0.00896860986547,0.008356545961,0.00754716981132,0.00307692307692,0.00900900900901,0.00985221674877,0.0119581464873,0.0130813953488,0.012012012012,0.0184696569921,0.0261282660333,0.0257009345794,0.0219560878244,0.0346232179226,0.0324189526185,0.0226244343891,0.0338600451467
screamo,0.0,0.0,0.0,0.0,0.0,0.004329004329,0.0134529147982,0.0389972144847,0.0603773584906,0.0707692307692,0.0594594594595,0.0665024630542,0.0627802690583,0.0523255813953,0.0540540540541,0.0606860158311,0.0522565320665,0.0817757009346,0.0838323353293,0.0875763747454,0.0922693266833,0.0814479638009,0.0632054176072
dreamo,0.0,0.0,0.0,0.00423728813559,0.0,0.004329004329,0.00896860986547,0.0222841225627,0.022641509434,0.0153846153846,0.0216216216216,0.0369458128079,0.0269058295964,0.0174418604651,0.00900900900901,0.00791556728232,0.0118764845606,0.00700934579439,0.0059880239521,0.0081466395112,0.0,0.00452488687783,0.00225733634312
pop emo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557103064067,0.00754716981132,0.00307692307692,0.0108108108108,0.012315270936,0.0239162929746,0.030523255814,0.03003003003,0.0290237467018,0.0308788598575,0.0233644859813,0.0319361277445,0.030549898167,0.0399002493766,0.0339366515837,0.0135440180587
pixie,0.0,0.0,0.0,0.0,0.0,0.0,0.00448430493274,0.00557103064067,0.00377358490566,0.0123076923077,0.0108108108108,0.0147783251232,0.0224215246637,0.0247093023256,0.039039039039,0.0501319261214,0.0380047505938,0.0560747663551,0.0718562874251,0.071283095723,0.109725685786,0.0859728506787,0.0632054176072
