year,emo,pop punk,metalcore,screamo,punk
1995,0.0470588,0.0352941,0.0,0.0,0.0588235
1996,0.0185185,0.0648148,0.0092592,0.0,0.0833333
1997,0.0144927,0.0942028,0.0072463,0.0,0.0942028
1998,0.0254237,0.0423728,0.0084745,0.0,0.0593220
1999,0.0277777,0.0763888,0.0208333,0.0,0.0763888
2000,0.0173160,0.0649350,0.0086580,0.0043290,0.0519480
2001,0.0493273,0.1031390,0.0044843,0.0134529,0.0852017
2002,0.0668523,0.1114206,0.0194986,0.0389972,0.0668523
2003,0.0830188,0.1207547,0.0264150,0.0603773,0.0566037
2004,0.0892307,0.1138461,0.0307692,0.0707692,0.0615384
2005,0.0774774,0.0954954,0.0378378,0.0594594,0.0360360
2006,0.0763546,0.0935960,0.0369458,0.0665024,0.0270935
2007,0.0538116,0.0717488,0.0418535,0.0627802,0.0313901
2008,0.0523255,0.0784883,0.0406976,0.0523255,0.0290697
2009,0.0600600,0.1051051,0.0420420,0.0540540,0.0420420
2010,0.0580474,0.0923482,0.0422163,0.0606860,0.0395778
2011,0.0546318,0.0736342,0.0403800,0.0522565,0.0237529
2012,0.0537383,0.0771028,0.0584112,0.0817757,0.0140186
2013,0.0558882,0.0818363,0.0638722,0.0838323,0.0139720
2014,0.0529531,0.0712830,0.0610997,0.0875763,0.0122199
2015,0.0548628,0.0897755,0.0648379,0.0922693,0.0049875
2016,0.0542986,0.0882352,0.0588235,0.0814479,0.0226244
2017,0.0248306,0.0541760,0.0632054,0.0632054,0.0316027
